ekegusii,english,headword,contributor,date,source,url
Omorakera,drought,Omorakera,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omorakera
Omorandi,Preacher,Omorandi,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omorandi
Omorandia,Preacher,Omorandia,James Abere,"April 13, 2026",lughayangu,https://lughayangu.com/ekegusii/omorandia
Omorangu,door,Omorangu,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/omorangu
Omoratora,thorn apple,Omoratora,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omoratora
Omorembe,peace,Omorembe,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/omorembe
Omorero bw'enyangau,fire lilies,Omorero bw'enyangau,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omorero-bwenyangau
Omoro bw'esegi,sword,Omoro bw'esegi,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omoro-bwesegi
Omoroso,fatigue,Omoroso,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/omoroso
Omorwaire,patient,Omorwaire,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omorwaire
Omosangererekano,crowd,Omosangererekano,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omosangererekano
Omoseto,bone marrow,Omoseto,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/omoseto
Omosi,Sugarcane,Omosi,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/omosi
Omosi,Am eating sugarcane,Omosi,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/omosi
omosigari,A policeman.,omosigari,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/omosigari
omosigari,#Policeman,omosigari,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/omosigari
omosigari,#Cap,omosigari,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/omosigari
Omosu,hen,Omosu,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omosu
Omosubati,woman,Omosubati,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omosubati
Omosubati,female,Omosubati,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/omosubati
Omote,tree,Omote,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omote
Omote,By Oirere,Omote,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omote
Omotembe,Erythrina abyssinica,Omotembe,Evanson Onyinkx,"April 3, 2024",lughayangu,https://lughayangu.com/ekegusii/omotembe
Omotembe,By Evanson Onyinkx,Omotembe,Evanson Onyinkx,"April 3, 2024",lughayangu,https://lughayangu.com/ekegusii/omotembe
Omotembe,Evanson Onyinkx,Omotembe,Evanson Onyinkx,"April 3, 2024",lughayangu,https://lughayangu.com/ekegusii/omotembe
Omotembe,"April 3, 2024",Omotembe,Evanson Onyinkx,"April 3, 2024",lughayangu,https://lughayangu.com/ekegusii/omotembe
Omotere,jute mallow,Omotere,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/omotere
Omoterere,Smooth,Omoterere,Anonymous,"February 2, 2023",lughayangu,https://lughayangu.com/ekegusii/omoterere
Omoterere,"February 2, 2023",Omoterere,Anonymous,"February 2, 2023",lughayangu,https://lughayangu.com/ekegusii/omoterere
Omotienyi,moon,Omotienyi,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omotienyi
Omwaga,windy,Omwaga,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/omwaga
omwana,By sosimomanyi,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,"September 25, 2019",omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,A child.,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,#Child,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,Child,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,Kerubo's child died,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,#died,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,kid,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,Achild,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,By Doreen Nyang'ara,omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
omwana,"April 21, 2025",omwana,sosimomanyi,"September 25, 2019",lughayangu,https://lughayangu.com/ekegusii/omwana
Omworokigwa,student,Omworokigwa,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/omworokigwa
Onye,unless,Onye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/onye
Onye taribo,otherwise,Onye taribo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/onye-taribo
Oroima,spleen,Oroima,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/oroima
Oroima,jaundice,Oroima,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/oroima
Rero,Today,Rero,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rero
Rero,#Today,Rero,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rero
Rero,#Day,Rero,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rero
Rero,Today am coming,Rero,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rero
Rero,"October 25, 2024",Rero,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rero
Riberera,fever,Riberera,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/riberera
Rigecha,Tick,Rigecha,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rigecha
Rigwata,april,Rigwata,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/rigwata
Rikonge,sisal,Rikonge,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rikonge
Rikuba,common cold,Rikuba,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/rikuba
Rikwarimo,ulcers,Rikwarimo,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/rikwarimo
Rinoe,kidney beans,Rinoe,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rinoe
Rinyamara,Centipede,Rinyamara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rinyamara
Rinyamara,millipede,Rinyamara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rinyamara
Riororo,hen,Riororo,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/riororo
Rirabwoni,sweet potato,Rirabwoni,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rirabwoni
Rireko,Shoulder,Rireko,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/rireko
Riru,knee,Riru,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/riru
Rirubi,cobra,Rirubi,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/rirubi
Rirumbe,foggy,Rirumbe,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/rirumbe
Risabeso,cholera,Risabeso,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/risabeso
Risanku,skin,Risanku,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/risanku
Rise,stinging nettle,Rise,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rise
Rise,By Benzoic prutas,Rise,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rise
Rise,Benzoic prutas,Rise,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rise
Rise,"February 19, 2023",Rise,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rise
Risosa,pumpkin leaves,Risosa,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/risosaamasosa
Ritimo,spear,Ritimo,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/ritimo
Ritina,stem,Ritina,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ritina
Ritindogoro,passion,Ritindogoro,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ritindogoro
Rito,leaf,Rito,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/rito
Ritoke,#Cut,Ritoke,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/ritoke
Ritoke,Banana- single form,Ritoke,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/ritoke
Ritoke,#Give,Ritoke,wakaliwao,"August 12, 2019",lughayangu,https://lughayangu.com/ekegusii/ritoke
Rituko,Day,Rituko,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rituko
Rituko,Which day?,Rituko,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rituko
Rituko,#which,Rituko,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rituko
Rituko,#Day,Rituko,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/rituko
Ritunda riroro,lemon,Ritunda riroro,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ritunda-riroro
Riuga,flower,Riuga,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/riuga
Rwana,Fight,Rwana,Bernard Momanyi Nyagaka,"February 9, 2023",lughayangu,https://lughayangu.com/ekegusii/rwana
Rwana,Okay fight,Rwana,Bernard Momanyi Nyagaka,"February 9, 2023",lughayangu,https://lughayangu.com/ekegusii/rwana
Rwana,"February 9, 2023",Rwana,Bernard Momanyi Nyagaka,"February 9, 2023",lughayangu,https://lughayangu.com/ekegusii/rwana
Tara,Walk,Tara,Anonymous,"July 30, 2023",lughayangu,https://lughayangu.com/ekegusii/tara
Tara,Walk towards me,Tara,Anonymous,"July 30, 2023",lughayangu,https://lughayangu.com/ekegusii/tara
Tara,"July 30, 2023",Tara,Anonymous,"July 30, 2023",lughayangu,https://lughayangu.com/ekegusii/tara
Tata,Father,Tata,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/tata
Tata biara,Father-in-law,Tata biara,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/tata-biara
Tema,Attempt,Tema,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/tema
Tema,Attempt all questions,Tema,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/tema
Tema,#attempt,Tema,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/tema
Tema,#all,Tema,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/tema
Tichi gatano,friday,Tichi gatano,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/tichi-gatano
Tichi kabere,tuesday,Tichi kabere,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/tichi-kabere
Tureti ya kebaki,September,Tureti ya kebaki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/tureti-ya-kebaki
Yabo,their,Yabo,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yabo
Yaito,ours,Yaito,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yaito
Yane,Bring my dress,Yane,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yane
Yaye,his/her/its,Yaye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yaye
Yoka,only,Yoka,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/yoka
Yonsi,#Eat,Yonsi,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/yonsi
Yonsi,#all,Yonsi,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/yonsi
Yonsi,#bread,Yonsi,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/yonsi
